employeenumber,total_risk_points,risk_degree
587,0,"low risk"
590,2,"HIGH RISK"
591,1,"Medium Risk"
592,0,"low risk"
593,1,"Medium Risk"
595,0,"low risk"
597,0,"low risk"
599,1,"Medium Risk"
600,1,"Medium Risk"
601,0,"low risk"
602,1,"Medium Risk"
604,1,"Medium Risk"
605,2,"HIGH RISK"
606,1,"Medium Risk"
608,2,"HIGH RISK"
611,0,"low risk"
612,0,"low risk"
613,1,"Medium Risk"
614,2,"HIGH RISK"
615,1,"Medium Risk"
616,2,"HIGH RISK"
618,1,"Medium Risk"
620,0,"low risk"
621,0,"low risk"
622,2,"HIGH RISK"
623,0,"low risk"
624,0,"low risk"
625,1,"Medium Risk"
626,1,"Medium Risk"
630,3,"HIGH RISK"
631,1,"Medium Risk"
632,1,"Medium Risk"
634,0,"low risk"
635,1,"Medium Risk"
638,1,"Medium Risk"
639,2,"HIGH RISK"
641,0,"low risk"
643,1,"Medium Risk"
644,0,"low risk"
645,1,"Medium Risk"
647,1,"Medium Risk"
648,2,"HIGH RISK"
649,1,"Medium Risk"
650,1,"Medium Risk"
652,1,"Medium Risk"
653,0,"low risk"
655,1,"Medium Risk"
656,1,"Medium Risk"
657,1,"Medium Risk"
659,0,"low risk"
661,1,"Medium Risk"
662,2,"HIGH RISK"
663,1,"Medium Risk"
664,1,"Medium Risk"
665,1,"Medium Risk"
666,2,"HIGH RISK"
667,1,"Medium Risk"
669,0,"low risk"
671,1,"Medium Risk"
675,1,"Medium Risk"
677,0,"low risk"
679,2,"HIGH RISK"
680,1,"Medium Risk"
682,1,"Medium Risk"
683,1,"Medium Risk"
684,1,"Medium Risk"
686,2,"HIGH RISK"
689,0,"low risk"
690,1,"Medium Risk"
691,0,"low risk"
692,0,"low risk"
698,0,"low risk"
699,2,"HIGH RISK"
700,1,"Medium Risk"
701,2,"HIGH RISK"
702,2,"HIGH RISK"
704,1,"Medium Risk"
705,1,"Medium Risk"
707,0,"low risk"
709,1,"Medium Risk"
710,1,"Medium Risk"
712,0,"low risk"
714,2,"HIGH RISK"
715,0,"low risk"
716,2,"HIGH RISK"
717,0,"low risk"
720,1,"Medium Risk"
721,1,"Medium Risk"
722,0,"low risk"
723,1,"Medium Risk"
724,0,"low risk"
725,2,"HIGH RISK"
727,0,"low risk"
728,2,"HIGH RISK"
729,2,"HIGH RISK"
730,0,"low risk"
731,0,"low risk"
732,2,"HIGH RISK"
733,1,"Medium Risk"
734,0,"low risk"
738,1,"Medium Risk"
741,2,"HIGH RISK"
742,1,"Medium Risk"
743,2,"HIGH RISK"
744,1,"Medium Risk"
746,1,"Medium Risk"
747,1,"Medium Risk"
749,1,"Medium Risk"
752,1,"Medium Risk"
754,0,"low risk"
757,1,"Medium Risk"
758,2,"HIGH RISK"
760,0,"low risk"
762,0,"low risk"
763,2,"HIGH RISK"
764,1,"Medium Risk"
766,1,"Medium Risk"
769,0,"low risk"
771,1,"Medium Risk"
772,0,"low risk"
773,2,"HIGH RISK"
775,1,"Medium Risk"
776,1,"Medium Risk"
780,2,"HIGH RISK"
781,0,"low risk"
783,0,"low risk"
784,1,"Medium Risk"
785,1,"Medium Risk"
786,1,"Medium Risk"
787,2,"HIGH RISK"
789,2,"HIGH RISK"
791,1,"Medium Risk"
792,0,"low risk"
793,1,"Medium Risk"
796,1,"Medium Risk"
797,1,"Medium Risk"
799,2,"HIGH RISK"
800,1,"Medium Risk"
802,3,"HIGH RISK"
803,2,"HIGH RISK"
804,2,"HIGH RISK"
805,1,"Medium Risk"
806,0,"low risk"
807,0,"low risk"
808,1,"Medium Risk"
809,0,"low risk"
811,3,"HIGH RISK"
812,0,"low risk"
813,0,"low risk"
815,0,"low risk"
816,3,"HIGH RISK"
817,0,"low risk"
819,2,"HIGH RISK"
820,1,"Medium Risk"
823,1,"Medium Risk"
824,1,"Medium Risk"
825,1,"Medium Risk"
826,1,"Medium Risk"
827,1,"Medium Risk"
828,1,"Medium Risk"
829,1,"Medium Risk"
830,0,"low risk"
832,1,"Medium Risk"
833,1,"Medium Risk"
834,1,"Medium Risk"
836,0,"low risk"
837,1,"Medium Risk"
838,1,"Medium Risk"
840,0,"low risk"
842,1,"Medium Risk"
843,1,"Medium Risk"
844,2,"HIGH RISK"
845,1,"Medium Risk"
846,2,"HIGH RISK"
847,1,"Medium Risk"
848,2,"HIGH RISK"
850,1,"Medium Risk"
851,0,"low risk"
852,1,"Medium Risk"
854,2,"HIGH RISK"
855,1,"Medium Risk"
856,2,"HIGH RISK"
857,1,"Medium Risk"
859,1,"Medium Risk"
861,1,"Medium Risk"
862,1,"Medium Risk"
864,3,"HIGH RISK"
865,1,"Medium Risk"
867,0,"low risk"
868,1,"Medium Risk"
869,1,"Medium Risk"
872,1,"Medium Risk"
874,2,"HIGH RISK"
875,2,"HIGH RISK"
878,2,"HIGH RISK"
879,2,"HIGH RISK"
880,1,"Medium Risk"
881,2,"HIGH RISK"
882,0,"low risk"
885,1,"Medium Risk"
887,2,"HIGH RISK"
888,1,"Medium Risk"
889,0,"low risk"
893,1,"Medium Risk"
894,1,"Medium Risk"
895,2,"HIGH RISK"
896,1,"Medium Risk"
897,0,"low risk"
899,1,"Medium Risk"
900,1,"Medium Risk"
901,0,"low risk"
902,1,"Medium Risk"
903,2,"HIGH RISK"
904,1,"Medium Risk"
905,1,"Medium Risk"
909,1,"Medium Risk"
910,2,"HIGH RISK"
911,1,"Medium Risk"
912,1,"Medium Risk"
913,2,"HIGH RISK"
916,0,"low risk"
918,2,"HIGH RISK"
920,0,"low risk"
922,1,"Medium Risk"
923,0,"low risk"
924,1,"Medium Risk"
925,2,"HIGH RISK"
926,1,"Medium Risk"
927,2,"HIGH RISK"
930,1,"Medium Risk"
932,2,"HIGH RISK"
933,1,"Medium Risk"
934,1,"Medium Risk"
936,0,"low risk"
939,3,"HIGH RISK"
940,1,"Medium Risk"
941,1,"Medium Risk"
942,1,"Medium Risk"
944,0,"low risk"
945,1,"Medium Risk"
947,0,"low risk"
949,1,"Medium Risk"
950,1,"Medium Risk"
951,1,"Medium Risk"
952,1,"Medium Risk"
954,0,"low risk"
956,2,"HIGH RISK"
957,2,"HIGH RISK"
958,1,"Medium Risk"
959,2,"HIGH RISK"
960,1,"Medium Risk"
961,1,"Medium Risk"
964,2,"HIGH RISK"
966,1,"Medium Risk"
967,1,"Medium Risk"
969,1,"Medium Risk"
970,0,"low risk"
972,1,"Medium Risk"
974,1,"Medium Risk"
975,0,"low risk"
976,0,"low risk"
977,1,"Medium Risk"
981,0,"low risk"
982,1,"Medium Risk"
983,2,"HIGH RISK"
984,0,"low risk"
985,0,"low risk"
986,1,"Medium Risk"
987,2,"HIGH RISK"
990,0,"low risk"
991,3,"HIGH RISK"
992,0,"low risk"
994,3,"HIGH RISK"
995,0,"low risk"
996,1,"Medium Risk"
997,0,"low risk"
998,2,"HIGH RISK"
999,0,"low risk"
1001,1,"Medium Risk"
1002,2,"HIGH RISK"
1003,1,"Medium Risk"
1004,2,"HIGH RISK"
1005,1,"Medium Risk"
1006,1,"Medium Risk"
1007,0,"low risk"
1009,1,"Medium Risk"
1010,2,"HIGH RISK"
1011,1,"Medium Risk"
1012,1,"Medium Risk"
1013,0,"low risk"
1014,2,"HIGH RISK"
1015,2,"HIGH RISK"
1016,3,"HIGH RISK"
1017,1,"Medium Risk"
1018,0,"low risk"
1019,2,"HIGH RISK"
1022,0,"low risk"
1024,0,"low risk"
1025,1,"Medium Risk"
1026,0,"low risk"
1027,1,"Medium Risk"
1028,1,"Medium Risk"
1029,0,"low risk"
1030,1,"Medium Risk"
1032,1,"Medium Risk"
1033,1,"Medium Risk"
1034,1,"Medium Risk"
1035,0,"low risk"
1036,2,"HIGH RISK"
1037,2,"HIGH RISK"
1038,0,"low risk"
1039,2,"HIGH RISK"
1040,1,"Medium Risk"
1042,2,"HIGH RISK"
1043,2,"HIGH RISK"
1044,1,"Medium Risk"
1045,0,"low risk"
1046,1,"Medium Risk"
1047,0,"low risk"
1048,1,"Medium Risk"
1049,1,"Medium Risk"
1050,0,"low risk"
1052,1,"Medium Risk"
1053,3,"HIGH RISK"
1055,1,"Medium Risk"
1056,1,"Medium Risk"
1060,0,"low risk"
1061,1,"Medium Risk"
1062,1,"Medium Risk"
1066,1,"Medium Risk"
1068,1,"Medium Risk"
1069,0,"low risk"
1070,1,"Medium Risk"
1071,1,"Medium Risk"
1073,0,"low risk"
1074,1,"Medium Risk"
1076,1,"Medium Risk"
1077,2,"HIGH RISK"
1079,2,"HIGH RISK"
1080,2,"HIGH RISK"
1081,2,"HIGH RISK"
1082,1,"Medium Risk"
1083,2,"HIGH RISK"
1084,1,"Medium Risk"
1085,1,"Medium Risk"
1088,0,"low risk"
1092,0,"low risk"
1094,1,"Medium Risk"
1096,0,"low risk"
1097,1,"Medium Risk"
1098,1,"Medium Risk"
1099,1,"Medium Risk"
1100,2,"HIGH RISK"
1101,1,"Medium Risk"
1102,1,"Medium Risk"
1103,0,"low risk"
1105,2,"HIGH RISK"
1106,2,"HIGH RISK"
1107,1,"Medium Risk"
1108,2,"HIGH RISK"
1109,1,"Medium Risk"
1111,1,"Medium Risk"
1113,1,"Medium Risk"
1114,1,"Medium Risk"
1115,1,"Medium Risk"
1116,0,"low risk"
1117,1,"Medium Risk"
1118,0,"low risk"
1119,2,"HIGH RISK"
1120,1,"Medium Risk"
1121,0,"low risk"
1124,0,"low risk"
1125,1,"Medium Risk"
1126,1,"Medium Risk"
1127,0,"low risk"
1128,0,"low risk"
1131,2,"HIGH RISK"
1132,0,"low risk"
1133,0,"low risk"
1135,1,"Medium Risk"
1136,0,"low risk"
1137,0,"low risk"
1138,0,"low risk"
1140,1,"Medium Risk"
1143,1,"Medium Risk"
1148,0,"low risk"
1150,1,"Medium Risk"
1152,1,"Medium Risk"
1154,2,"HIGH RISK"
1156,1,"Medium Risk"
1157,2,"HIGH RISK"
1158,2,"HIGH RISK"
1160,1,"Medium Risk"
1161,0,"low risk"
1162,1,"Medium Risk"
1163,0,"low risk"
1164,1,"Medium Risk"
1165,1,"Medium Risk"
1166,0,"low risk"
1167,2,"HIGH RISK"
1171,2,"HIGH RISK"
1172,1,"Medium Risk"
1173,0,"low risk"
1175,2,"HIGH RISK"
1177,0,"low risk"
1179,0,"low risk"
1180,2,"HIGH RISK"
1182,0,"low risk"
1184,2,"HIGH RISK"
1185,1,"Medium Risk"
1188,0,"low risk"
1190,2,"HIGH RISK"
1191,1,"Medium Risk"
1192,1,"Medium Risk"
1193,2,"HIGH RISK"
1195,1,"Medium Risk"
1196,0,"low risk"
1198,1,"Medium Risk"
1200,2,"HIGH RISK"
1201,0,"low risk"
1202,2,"HIGH RISK"
1203,1,"Medium Risk"
1204,1,"Medium Risk"
1206,1,"Medium Risk"
1207,0,"low risk"
1210,2,"HIGH RISK"
1211,1,"Medium Risk"
1212,0,"low risk"
1215,1,"Medium Risk"
1216,2,"HIGH RISK"
1217,0,"low risk"
1218,3,"HIGH RISK"
1219,1,"Medium Risk"
1220,0,"low risk"
1221,1,"Medium Risk"
1224,0,"low risk"
1225,0,"low risk"
1226,1,"Medium Risk"
1228,0,"low risk"
1231,2,"HIGH RISK"
1233,2,"HIGH RISK"
1234,1,"Medium Risk"
1235,1,"Medium Risk"
1237,2,"HIGH RISK"
1238,1,"Medium Risk"
1239,0,"low risk"
1240,1,"Medium Risk"
1241,2,"HIGH RISK"
1242,2,"HIGH RISK"
1243,2,"HIGH RISK"
1244,3,"HIGH RISK"
1245,0,"low risk"
1246,1,"Medium Risk"
1248,2,"HIGH RISK"
1249,0,"low risk"
1250,0,"low risk"
1251,3,"HIGH RISK"
1252,2,"HIGH RISK"
1254,1,"Medium Risk"
1255,0,"low risk"
1256,1,"Medium Risk"
1257,1,"Medium Risk"
1258,1,"Medium Risk"
1259,1,"Medium Risk"
1260,1,"Medium Risk"
1263,0,"low risk"
1264,1,"Medium Risk"
1265,1,"Medium Risk"
1267,0,"low risk"
1268,2,"HIGH RISK"
1269,2,"HIGH RISK"
1270,1,"Medium Risk"
1273,2,"HIGH RISK"
1275,1,"Medium Risk"
1277,1,"Medium Risk"
1278,2,"HIGH RISK"
1279,1,"Medium Risk"
1280,0,"low risk"
1281,3,"HIGH RISK"
1282,1,"Medium Risk"
1283,1,"Medium Risk"
1285,1,"Medium Risk"
1286,2,"HIGH RISK"
1288,1,"Medium Risk"
1289,1,"Medium Risk"
1291,2,"HIGH RISK"
1292,2,"HIGH RISK"
1293,0,"low risk"
1294,2,"HIGH RISK"
1295,0,"low risk"
1296,2,"HIGH RISK"
1297,1,"Medium Risk"
1298,1,"Medium Risk"
1299,2,"HIGH RISK"
1301,2,"HIGH RISK"
1303,0,"low risk"
1304,0,"low risk"
1306,0,"low risk"
1307,2,"HIGH RISK"
1308,1,"Medium Risk"
1309,0,"low risk"
1310,2,"HIGH RISK"
1311,0,"low risk"
1312,0,"low risk"
1314,2,"HIGH RISK"
1315,0,"low risk"
1317,2,"HIGH RISK"
1318,2,"HIGH RISK"
1319,2,"HIGH RISK"
1321,2,"HIGH RISK"
1322,1,"Medium Risk"
1324,1,"Medium Risk"
1329,1,"Medium Risk"
1331,2,"HIGH RISK"
1333,1,"Medium Risk"
1334,1,"Medium Risk"
1336,0,"low risk"
1338,0,"low risk"
1340,1,"Medium Risk"
1344,0,"low risk"
1346,1,"Medium Risk"
1349,2,"HIGH RISK"
1350,1,"Medium Risk"
1352,1,"Medium Risk"
1355,2,"HIGH RISK"
1356,2,"HIGH RISK"
1358,1,"Medium Risk"
1360,2,"HIGH RISK"
1361,1,"Medium Risk"
1362,1,"Medium Risk"
1363,0,"low risk"
1364,1,"Medium Risk"
1367,0,"low risk"
1368,1,"Medium Risk"
1369,0,"low risk"
1371,1,"Medium Risk"
1372,1,"Medium Risk"
1373,2,"HIGH RISK"
1374,1,"Medium Risk"
1375,0,"low risk"
1377,1,"Medium Risk"
1379,1,"Medium Risk"
1380,1,"Medium Risk"
1382,1,"Medium Risk"
1383,0,"low risk"
1387,2,"HIGH RISK"
1389,1,"Medium Risk"
1390,2,"HIGH RISK"
1391,0,"low risk"
1392,2,"HIGH RISK"
1394,2,"HIGH RISK"
1395,0,"low risk"
1396,2,"HIGH RISK"
1397,0,"low risk"
1399,1,"Medium Risk"
1401,1,"Medium Risk"
1402,2,"HIGH RISK"
1403,1,"Medium Risk"
1405,2,"HIGH RISK"
1407,0,"low risk"
1408,1,"Medium Risk"
1409,2,"HIGH RISK"
1411,0,"low risk"
1412,0,"low risk"
1415,1,"Medium Risk"
1417,1,"Medium Risk"
1419,1,"Medium Risk"
1420,2,"HIGH RISK"
1421,1,"Medium Risk"
1422,0,"low risk"
1423,2,"HIGH RISK"
1424,1,"Medium Risk"
1425,2,"HIGH RISK"
1427,1,"Medium Risk"
1428,1,"Medium Risk"
1430,0,"low risk"
1431,2,"HIGH RISK"
1433,1,"Medium Risk"
1434,1,"Medium Risk"
1435,0,"low risk"
1436,2,"HIGH RISK"
1438,1,"Medium Risk"
1439,1,"Medium Risk"
1440,1,"Medium Risk"
1441,2,"HIGH RISK"
1443,0,"low risk"
1445,2,"HIGH RISK"
1446,0,"low risk"
1447,1,"Medium Risk"
1448,2,"HIGH RISK"
1449,0,"low risk"
1453,0,"low risk"
1457,1,"Medium Risk"
1458,3,"HIGH RISK"
1459,0,"low risk"
1460,2,"HIGH RISK"
1461,1,"Medium Risk"
1464,1,"Medium Risk"
1465,1,"Medium Risk"
1466,2,"HIGH RISK"
1467,1,"Medium Risk"
1468,0,"low risk"
1469,2,"HIGH RISK"
1471,1,"Medium Risk"
1472,0,"low risk"
1473,1,"Medium Risk"
1474,1,"Medium Risk"
1475,0,"low risk"
1477,1,"Medium Risk"
1478,1,"Medium Risk"
1479,0,"low risk"
1480,1,"Medium Risk"
1481,0,"low risk"
1482,1,"Medium Risk"
1483,0,"low risk"
1484,0,"low risk"
1485,1,"Medium Risk"
1486,1,"Medium Risk"
1487,0,"low risk"
1489,2,"HIGH RISK"
1492,1,"Medium Risk"
1494,2,"HIGH RISK"
1495,1,"Medium Risk"
1496,1,"Medium Risk"
1497,1,"Medium Risk"
1499,1,"Medium Risk"
1501,1,"Medium Risk"
1502,1,"Medium Risk"
1503,1,"Medium Risk"
1504,2,"HIGH RISK"
1506,1,"Medium Risk"
1507,1,"Medium Risk"
1509,2,"HIGH RISK"
1513,1,"Medium Risk"
1514,0,"low risk"
1515,2,"HIGH RISK"
1516,0,"low risk"
1520,0,"low risk"
1522,2,"HIGH RISK"
1523,1,"Medium Risk"
1525,1,"Medium Risk"
1527,0,"low risk"
1529,1,"Medium Risk"
1533,1,"Medium Risk"
1534,2,"HIGH RISK"
1535,1,"Medium Risk"
1537,1,"Medium Risk"
1539,1,"Medium Risk"
1541,2,"HIGH RISK"
1542,0,"low risk"
1543,1,"Medium Risk"
1544,1,"Medium Risk"
1545,1,"Medium Risk"
1546,1,"Medium Risk"
1547,1,"Medium Risk"
